"startpoint";"replicata_export_date";"parent";"id";"type";"title";"description";"subject";"relatedItems";"location";"language";"effectiveDate";"expirationDate";"creation_date";"modification_date";"creators";"contributors";"rights";"allowDiscussion";"excludeFromNav";"nextPreviousEnabled";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"synonyms"
"Start point";"Export Date";"Parent folder";"Identifier";"Content type";"Title";"label_description";"label_tags";"label_related_items";"label_location";"label_language";"label_effective_date";"label_expiration_date";"label_creation_date";"label_modification_date";"label_creators";"label_contributors";"label_copyrights";"label_allow_comments";"label_exclude_from_nav";"label_nextprevious";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"Synonyms"
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"vegetal-soft-tissue";"Mars Category";"Vegetal Soft Tissue";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"animal-hard-tissue";"Mars Category";"Animal Hard Tissue";"";"";"";"";"fr";"";"";"24/05/2011 12:25:04";"24/05/2011 12:25:04";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"undetermined";"Mars Category";"Undetermined";"";"";"";"";"fr";"";"";"25/05/2011 15:12:16";"25/05/2011 15:12:16";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"remain-type/artefact";"unknown";"Mars Category";"Unknown";"";"";"";"";"fr";"";"";"25/05/2011 15:12:17";"25/05/2011 15:12:17";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"animal";"Mars Category";"Animal";"";"";"";"";"fr";"";"";"24/05/2011 12:24:58";"24/05/2011 12:24:58";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"ceramic";"Mars Category";"Ceramic";"";"";"";"";"fr";"";"";"25/05/2011 15:22:31";"25/05/2011 15:22:31";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"composite";"Mars Category";"Composite";"";"";"";"";"fr";"";"";"25/05/2011 15:22:31";"25/05/2011 15:22:31";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"metal";"Mars Category";"Metal";"";"";"";"";"fr";"";"";"25/05/2011 15:22:43";"25/05/2011 15:22:43";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"glass";"Mars Category";"Glass";"";"";"";"";"fr";"";"";"25/05/2011 15:22:44";"25/05/2011 15:22:44";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"burned-hearth";"Mars Category";"Burned hearth";"";"";"";"";"fr";"";"";"25/05/2011 15:22:44";"25/05/2011 15:22:44";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"undetermined";"Mars Category";"Undetermined";"";"";"";"";"fr";"";"";"13/03/2012 22:14:30";"13/03/2012 22:14:30";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"unknown";"Mars Category";"Unknown";"";"";"";"";"fr";"";"";"13/03/2012 22:14:32";"13/03/2012 22:14:32";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"vegetal";"Mars Category";"Vegetal";"";"";"";"";"fr";"";"";"24/05/2011 12:24:58";"24/05/2011 12:24:58";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"lithic";"Mars Category";"Lithic";"";"";"";"";"fr";"";"";"24/05/2011 12:24:58";"24/05/2011 12:24:58";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"other";"Mars Category";"Other";"";"";"";"";"fr";"";"";"24/05/2011 12:24:58";"24/05/2011 12:24:58";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material";"animal-soft-tissue";"Mars Category";"Animal Soft Tissue";"";"";"";"";"fr";"";"";"13/03/2012 22:14:33";"13/03/2012 22:14:33";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material/animal-soft-tissue";"sinew";"Mars Category";"Sinew";"";"";"";"";"fr";"";"";"13/03/2012 22:14:33";"13/03/2012 22:14:33";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material/animal-soft-tissue";"skin";"Mars Category";"Skin";"";"";"";"";"fr";"";"";"13/03/2012 22:14:34";"13/03/2012 22:14:34";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material/animal-soft-tissue/skin";"tanned";"Mars Category";"Tanned";"";"";"";"";"fr";"";"";"13/03/2012 22:14:34";"13/03/2012 22:14:34";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material/animal-soft-tissue/skin";"treated";"Mars Category";"Treated";"";"";"";"";"fr";"";"";"13/03/2012 22:14:34";"13/03/2012 22:14:34";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"raw-material/animal-soft-tissue/skin";"untreated";"Mars Category";"Untreated";"";"";"";"";"fr";"";"";"13/03/2012 22:14:34";"13/03/2012 22:14:34";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"pathology";"undetermined";"Mars Category";"Undetermined";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"pathology";"unknown";"Mars Category";"Unknown";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"nothing";"undetermined";"Mars Category";"Undetermined";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"nothing";"unknown";"Mars Category";"Unknown";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"nothing";"none";"Mars Category";"None";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"coordinate-projection";"none";"Mars Category";"None";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology";"undetermined";"Mars Category";"Undetermined";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology";"unknown";"Mars Category";"Unknown";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"chronology";"cultural";"Mars Category";"Cultural";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
